ENOTA,NA_MID,NA_ID,NA_UIME,NA_DJ,OB_MID,POV_KM2,D_OD,DV_OD,STATUS,CEN_E,CEN_N
NA,10083931,1,Ajdovščina,,11026516,6.95,1995/01/01,1995/01/01,V,414738,83647
NA,10083940,2,Batuje,,11026516,2.83,1995/01/01,1995/01/01,V,405088,84487
NA,10083958,3,Bela,,11026516,4.9,1995/01/01,1995/01/01,V,424698,80817
NA,10083966,4,Brje,,11026516,5.35,1995/01/01,1995/01/01,V,408018,81637
NA,10083974,5,Budanje,,11026516,5.33,1995/01/01,1995/01/01,V,418629,82078
NA,10083982,6,Cesta,,11026516,2.75,1995/01/01,1995/01/01,V,412448,83867
NA,10084008,7,Col,,11026516,2.62,1995/01/01,1995/01/01,V,422528,82737
NA,10084016,8,Črniče,,11026516,5.37,1995/01/01,1995/01/01,V,404998,86347
NA,10084024,9,Dobravlje,,11026516,3.18,1995/01/01,1995/01/01,V,410508,83337
NA,10084032,10,Dolenje,,11026516,1.14,1995/01/01,1995/01/01,V,414938,81117
NA,10084059,11,Dolga Poljana,,11026516,2.31,1995/01/01,1995/01/01,V,417398,82337
NA,10084067,1,Duplje,,11027636,2.42,1995/01/01,1995/01/01,V,418238,80837
NA,10084075,2,Erzelj,,11027636,3.84,1995/01/01,1995/01/01,V,415148,77527
NA,10084083,12,Gaberje,,11026516,4.6,1995/01/01,1995/01/01,V,413468,78287
NA,10084091,3,Goče,,11027636,4.54,1995/01/01,1995/01/01,V,416388,76377
NA,10084105,13,Gojače,,11026516,5,1995/01/01,1995/01/01,V,406638,85367
NA,10084113,14,Gozd,,11026516,6.91,1995/01/01,1995/01/01,V,419828,84817
NA,10084121,4,Gradišče pri Vipavi,,11027636,3.77,1995/01/01,1995/01/01,V,419578,77777
NA,10084130,15,Grivče,,11026516,3.55,1995/01/01,1995/01/01,V,415668,84387
NA,10084148,16,Kamnje,,11026516,4.41,1995/01/01,1995/01/01,V,409288,85037
NA,10084156,17,Kovk,,11026516,8.85,1995/01/01,1995/01/01,V,417228,86637
NA,10084164,19,Križna Gora,,11026516,8.18,1995/01/01,1995/01/01,V,422228,85597
NA,10084172,20,Lokavec,,11026516,13.74,1995/01/01,1995/01/01,V,412943,85307
NA,10084199,6,Lozice,,11027636,8.33,1995/01/01,1995/01/01,V,422228,71686
NA,10084202,7,Lože,,11027636,1.64,1995/01/01,1995/01/01,V,417438,76977
NA,10084229,21,Male Žablje,,11026516,1.15,1995/01/01,1995/01/01,V,411359,82488
NA,10084237,22,Malo Polje,,11026516,7.89,1995/01/01,1995/01/01,V,423988,83657
NA,10084245,8,Manče,,11027636,2.14,1995/01/01,1995/01/01,V,417568,76167
NA,10084253,9,Nanos,,11027636,38.14,1995/01/01,1995/01/01,V,423828,76007
NA,10084261,10,Orehovica,,11027636,0.98,1995/01/01,1995/01/01,V,419728,72937
NA,10084270,24,Otlica,,11026516,12.19,1995/01/01,1995/01/01,V,415478,88107
NA,10084288,25,Plače,,11026516,2.76,1995/01/01,1995/01/01,V,412698,82447
NA,10084296,26,Planina,,11026516,6.53,1995/01/01,1995/01/01,V,415078,80207
NA,10084300,11,Podbreg,,11027636,1.77,1995/01/01,1995/01/01,V,420528,71937
NA,10084318,12,Podgrič,,11027636,2.06,1995/01/01,1995/01/01,V,421928,72536
NA,10084326,27,Podkraj,,11026516,19.55,1995/01/01,1995/01/01,V,427098,80887
NA,10084334,13,Podnanos,,11027636,1.36,1995/01/01,1995/01/01,V,420068,73557
NA,10084342,14,Podraga,,11027636,6.96,1995/01/01,1995/01/01,V,418298,74567
NA,10084369,15,Poreče,,11027636,5.42,1995/01/01,1995/01/01,V,420208,74007
NA,10084377,29,Predmeja,,11026516,20.75,1995/01/01,1995/01/01,V,413768,89967
NA,10084385,30,Ravne,,11026516,12.61,1995/01/01,1995/01/01,V,405688,86967
NA,10084393,16,Sanabor,,11027636,5.97,1995/01/01,1995/01/01,V,421408,82267
NA,10084407,31,Selo,,11026516,3.98,1995/01/01,1995/01/01,V,405948,84007
NA,10084415,32,Skrilje,,11026516,1.45,1995/01/01,1995/01/01,V,410688,84237
NA,10084423,17,Slap,,11027636,5.1,1995/01/01,1995/01/01,V,417158,78267
NA,10084431,34,Šmarje,,11026516,5.82,1995/01/01,1995/01/01,V,410828,79357
NA,10084440,33,Stomaž,,11026516,7.4,1995/01/01,1995/01/01,V,411348,85137
NA,10084458,35,Tevče,,11026516,0.42,1995/01/01,1995/01/01,V,413348,80987
NA,10084466,36,Ustje,,11026516,2.77,1995/01/01,1995/01/01,V,414218,81747
NA,10084474,37,Velike Žablje,,11026516,3.12,1995/01/01,1995/01/01,V,410768,81447
NA,10084482,18,Vipava,,11027636,6.55,1995/01/01,1995/01/01,V,419408,79157
NA,10084504,38,Vipavski Križ,,11026516,0.48,1995/01/01,1995/01/01,V,411638,82987
