ENOTA,OB_MID,OB_ID,OB_UIME,OB_TIP,POV_KM2,D_OD,DV_OD,STATUS,CEN_E,CEN_N
OB,11026516,1,Ajdovščina,N,245.46,1995/01/01,1995/01/01,V,414738,83647
OB,11026524,2,Beltinci,N,62.31,1995/01/01,1995/01/01,V,594442,163669
OB,11026532,3,Bled,N,72.4,1995/01/01,1995/01/01,V,431829,136948
OB,11026559,4,Bohinj,N,333.84,1995/01/01,1995/01/01,V,419259,126588
OB,11026567,5,Borovnica,N,42.35,1995/01/01,1995/01/01,V,450679,86657
OB,11026575,6,Bovec,N,367.47,1995/01/01,1995/01/01,V,388448,134028
OB,11026583,7,Brda,N,71.98,1995/01/01,1995/01/01,V,386108,96508
OB,11026591,8,Brezovica,N,91.17,1995/01/01,1995/01/01,V,454229,97657
OB,11026605,9,Brežice,N,268,1995/01/01,1995/01/01,V,545949,85164
OB,11026613,10,Tišina,N,38.81,1998/11/22,1998/11/27,V,583687,169033
OB,11026621,11,Celje,D,94.89,1995/01/01,1995/01/01,V,520340,121185
OB,11026630,12,Cerklje na Gorenjskem,N,77.99,1995/01/01,1995/01/01,V,460330,123357
OB,11026648,13,Cerknica,N,240.92,1995/01/01,1995/01/01,V,450098,73146
OB,11026656,14,Cerkno,N,131.67,1995/01/01,1995/01/01,V,422069,110327
OB,11026664,15,Črenšovci,N,33.65,1995/01/01,1995/01/01,V,599161,160263
OB,11026672,16,Črna na Koroškem,N,155.87,1995/01/01,1995/01/01,V,488401,147796
OB,11026699,17,Črnomelj,N,339.7,1995/01/01,1995/01/01,V,515158,48225
OB,11026702,18,Destrnik,N,34.35,1998/11/22,1998/11/27,V,566201,150654
OB,11026729,19,Divača,N,145.09,1995/01/01,1995/01/01,V,419778,60746
OB,11026737,20,Dobrepolje,N,103.15,1995/01/01,1995/01/01,V,476269,78776
OB,11026745,21,Dobrova-Polhov Gradec,N,117.59,1998/11/22,1998/11/27,V,454689,101667
OB,11026753,22,Dol pri Ljubljani,N,33.34,1995/01/01,1995/01/01,V,472449,105406
OB,11026761,23,Domžale,N,72.27,1995/01/01,1995/01/01,V,469229,111866
OB,11026770,24,Dornava,N,28.42,1995/01/01,1995/01/01,V,572916,143799
OB,11026788,25,Dravograd,N,104.97,1995/01/01,1995/01/01,V,502141,161466
OB,11026796,26,Duplek,N,39.8,1995/01/01,1995/01/01,V,557310,152005
OB,11026800,27,Gorenja vas-Poljane,N,153.3,1995/01/01,1995/01/01,V,433909,107807
OB,11026818,28,Gorišnica,N,29.13,1995/01/01,1995/01/01,V,577594,142574
