ENOTA,ODO_MID,ODO_ID,ODO_UIME,POV_KM2,D_OD,DV_OD,STATUS,CEN_E,CEN_N
CK,16522635,140615,Pokojišče Padež-Zavrh,16.64,2014/09/04,2014/09/04,V,449549,84837
CK,16522643,9601,Artiče,14.79,1997/07/01,1997/07/01,V,546949,90484
CK,16522651,9602,Bizeljsko,30.75,1997/07/01,1997/07/01,V,554380,94834
CK,16522660,9603,Brežice,1.54,1997/07/01,1997/07/01,V,545949,85164
CK,16522678,9604,Cerklje ob Krki,25.25,1997/07/01,1997/07/01,V,539779,84305
CK,16522686,9605,Čatež ob Savi,16.88,1997/07/01,1997/07/01,V,546399,83814
CK,16522694,9606,Dobova,25.71,1997/07/01,1997/07/01,V,551089,85624
CK,16522708,9607,Globoko,17.48,1997/07/01,1997/07/01,V,549149,90754
CK,16522716,9608,Jesenice na Dolenjskem,6.85,1997/07/01,1997/07/01,V,552849,78834
CK,16522724,9609,Kapele,18.42,1997/07/01,1997/07/01,V,553849,88194
CK,16522732,9610,Krška vas,3.61,1997/07/01,1997/07/01,V,544319,83755
CK,16522759,9611,Mrzlava vas,7.75,1997/07/01,1997/07/01,V,543289,78935
CK,16522775,9613,Pišece,23.44,1997/07/01,1997/07/01,V,551340,95264
CK,16522783,9614,Skopice,7.06,1997/07/01,1997/07/01,V,542459,85275
CK,16522791,9615,Sromlje,14.58,1997/07/01,1997/07/01,V,546629,92164
CK,16522805,9616,Šentlenart,13.18,1997/07/01,1997/07/01,V,547119,87354
CK,16522813,9617,Velika Dolina,20.23,1997/07/01,1997/07/01,V,549709,78574
CK,16522821,9618,Zakot-Bukošek-Trnje,8.89,1997/07/01,1997/07/01,V,548629,87484
CK,16522830,9619,Velike Malence,4.08,1997/07/01,1997/07/01,V,544119,82965
CK,16522848,17601,Adlešiči,39.49,1997/07/01,1997/07/01,V,525908,40605
CK,16522856,17604,Dobliče,17.71,2010/07/09,2010/07/09,V,511308,46555
CK,16522864,17605,Dragatuš,55.89,1997/07/01,1997/07/01,V,512728,40185
CK,16522872,17606,Griblje,9.19,1997/07/01,1997/07/01,V,520628,48485
CK,16522899,17607,Petrova vas,14.14,1997/07/01,1997/07/01,V,512778,53445
CK,16522902,109601,Semič,146.56,1997/07/01,1997/07/01,V,513898,57205
