ENOTA,ODO_MID,ODO_ID,ODO_UIME,POV_KM2,D_OD,DV_OD,STATUS,CEN_E,CEN_N
CM,16525103,60301,Mestna skupnost Litija,17.33,1997/09/03,1997/09/03,V,486869,101866
CM,16525952,80301,Center,0.81,1997/07/01,1997/07/01,V,589012,169603
CM,16525979,80302,Ledava,3.18,1997/07/01,1997/07/01,V,589912,169473
CM,16525987,80304,Partizan,4.91,1997/07/01,1997/07/01,V,588942,169183
CM,16525995,80305,Turopolje,2.4,1997/07/01,1997/07/01,V,588632,169213
CM,16531014,70309,Studenci,3.79,1997/07/01,1997/07/01,V,548172,157695
CM,16531022,70307,Pobrežje,5.71,1997/07/01,1997/07/01,V,552532,157034
CM,16531057,70302,Ivan Cankar,8.22,1997/07/01,1997/07/01,V,551982,160844
CM,16531065,70303,Brezje-Dogoše-Zrkovci,9.8,2002/09/12,2002/09/12,V,554109,154005
CM,16531073,70310,Tabor,3.41,1997/07/01,1997/07/01,V,548682,156335
CM,16531146,70305,Magdalena,1.35,1997/07/01,1997/07/01,V,548712,157065
CM,16531154,70301,Center,6.24,1997/07/01,1997/07/01,V,549372,158294
CM,16531219,70304,Koroška vrata,2.82,1998/12/02,1998/12/04,V,548522,157885
CM,16531235,70308,Radvanje,7.6,1997/07/01,1997/07/01,V,546312,155835
CM,16531260,70311,Tezno,6.17,1997/07/01,1997/07/01,V,551352,154634
CM,16532967,96301,Četrt Rogoznica,20.43,2022/01/07,2022/01/07,V,569911,146364
CM,16532975,96302,Četrt Grajena,21.11,2022/01/07,2022/01/07,V,564511,146604
CM,16533009,96305,Četrt Jezero,4.39,2022/01/07,2022/01/07,V,568481,142144
CM,16533017,96306,Četrt Breg-Turnišče,8.13,2022/01/07,2022/01/07,V,566061,141254
CM,16533025,96307,Četrt Panorama,4.8,2022/01/07,2022/01/07,V,565011,144164
CM,16533033,96309,Četrt Center,1.08,2022/01/07,2022/01/07,V,566631,142654
CM,16533041,96308,Četrt Ljudski vrt,2.07,2022/01/07,2022/01/07,V,567020,144430
CM,16533491,80303,Park,3.19,1997/07/01,1997/07/01,V,588732,170523
CM,16533700,70306,Nova vas,1,1997/07/01,1997/07/01,V,548248,155771
CM,18445697,61302,Četrtna skupnost Center,5.07,2001/04/13,2001/04/20,V,462839,100466
CM,18445735,61303,Četrtna skupnost Črnuče,18.14,2001/04/13,2001/04/20,V,463539,107737
CM,18445743,61305,Četrtna skupnost Golovec,8.27,2001/04/13,2001/04/20,V,464659,101586
CM,18445751,61306,Četrtna skupnost Jarše,9.06,2001/04/13,2001/04/20,V,463349,102586
CM,18445760,61307,Četrtna skupnost Moste,3.4,2001/04/13,2001/04/20,V,464049,102146
CM,18445778,61308,Četrtna skupnost Polje,22.06,2001/04/13,2001/04/20,V,469749,102626
CM,18445786,61310,Četrtna skupnost Rožnik,8.36,2001/04/13,2001/04/20,V,460289,101747
CM,18445794,61311,Četrtna skupnost Rudnik,25.53,2001/04/13,2001/04/20,V,464079,98936
CM,18445808,61312,Četrtna skupnost Sostro,88.54,2001/04/13,2001/04/20,V,469699,100456
CM,18445816,61313,Četrtna skupnost Šentvid,15.83,2001/04/13,2001/04/20,V,458749,105417
CM,18445824,61315,Četrtna skupnost Šmarna gora,14.44,2001/04/13,2001/04/20,V,458629,108937
CM,18445832,61316,Četrtna skupnost Trnovo,7.18,2001/04/13,2001/04/20,V,460909,99786
CM,18445859,61317,Četrtna skupnost Vič,14.39,2001/04/13,2001/04/20,V,460579,100986
CM,18445867,61301,Četrtna skupnost Bežigrad,7.24,2013/07/24,2013/07/24,V,461869,104397
CM,18445875,61309,Četrtna skupnost Posavje,9.05,2001/04/13,2001/04/20,V,462909,105206
CM,18445883,61304,Četrtna skupnost Dravlje,11.11,2001/04/13,2001/04/20,V,459499,104437
CM,18445891,61314,Četrtna skupnost Šiška,7.36,2001/04/13,2001/04/20,V,460609,103237
CM,20027843,73301,Mestna skupnost Metlika,12.93,2014/09/10,2014/09/10,V,524579,57585
CM,20662000,103301,ČEČOVJE,2.37,1999/12/06,1999/12/21,V,497251,155866
CM,20662018,103302,JAVORNIK - ŠANCE,0.53,1999/12/06,1999/12/21,V,497611,155516
CM,20662026,103303,TRG,1.44,1999/12/06,1999/12/21,V,497257,156007
CM,20674571,103304,dobja vas,1.63,2010/09/20,2010/09/20,V,496101,156106
CM,20769513,112301,Center,0.91,1998/03/19,1998/03/19,V,506221,152136
CM,20769521,112302,Legen-mesto,1.12,1998/03/19,1998/03/19,V,506551,152516
CM,20769530,112303,Polje,0.54,1998/03/19,1998/03/19,V,506331,151456
CM,20769548,112304,Stari trg-mesto,1.26,1998/03/19,1998/03/19,V,505571,151906
CM,20769556,112305,Štibuh,1.77,1998/03/19,1998/03/19,V,505671,151476
CM,21047031,96310,Četrt Spuhlja,4.61,2022/01/07,2022/01/07,V,570321,141604
CM,21318779,133301,Velenje - desni breg,0.47,1997/09/10,1997/09/10,V,508641,135876
CM,21318787,133302,Velenje - levi breg - zahod,0.37,1997/09/10,1997/09/10,V,508811,135416
CM,21318795,133303,Velenje - levi breg - vzhod,0.12,1997/09/10,1997/09/10,V,509343,135709
CM,23771250,11301,Center,0.43,2000/03/21,2000/04/07,V,520340,121185
CM,23771268,11302,Dečkovo naselje,0.4,2000/03/21,2000/04/07,V,519940,122645
CM,23771276,11303,Dolgo polje,0.88,2000/03/21,2000/04/07,V,519600,121925
CM,23771284,11304,Gaberje,2.09,2000/03/21,2000/04/07,V,520960,122215
CM,23771292,11305,Hudinja,2.32,2000/03/21,2000/04/07,V,521136,123597
CM,23771306,11306,Kajuh,0.23,2000/03/21,2000/04/07,V,519980,121105
CM,23771314,11307,Lava,0.79,2000/03/21,2000/04/07,V,519470,122525
CM,23771322,11308,Nova vas,0.49,2000/03/21,2000/04/07,V,520420,122355
CM,23771349,11309,Savinja,3.37,2000/03/21,2000/04/07,V,519500,121565
CM,23771357,11310,Slavko Šlander,0.22,2000/03/21,2000/04/07,V,519510,121725
