ENOTA,ODO_MID,ODO_ID,ODO_UIME,POV_KM2,D_OD,DV_OD,STATUS,CEN_E,CEN_N
CV,16526088,7001,Šmartno,3.7,1997/07/01,1997/07/01,V,387778,97628
CV,16526169,7002,Vrhovlje,3.42,1997/07/01,1997/07/01,V,389708,99358
CV,16528528,49001,Brestovica pri Komnu,12.88,1997/07/01,1997/07/01,V,396707,75837
CV,16528552,49004,Gorjansko,12.18,1997/07/01,1997/07/01,V,400227,74287
CV,16528609,49011,Komen,7.77,1997/07/01,1997/07/01,V,402918,75877
CV,16528765,49017,Štanjel,3.76,1997/07/01,1997/07/01,V,410178,76587
CV,16530999,26001,Dvorjane,5.4,1997/07/01,1997/07/01,V,559239,150513
CV,16531090,26002,Korena,14.39,1997/07/01,1997/07/01,V,558832,155684
CV,16531286,26003,Spodnji Duplek,4.84,1997/07/01,1997/07/01,V,557310,152005
CV,16531308,26005,Zgornji Duplek,6.55,1997/07/01,1997/07/01,V,556232,152434
CV,16531375,55003,Svečina,16.2,1997/07/01,1997/07/01,V,544192,170555
CV,16531405,55002,Spodnja Kungota,7.43,1997/07/01,1997/07/01,V,549712,163795
CV,16531499,26006,Zimica,4.05,1997/07/01,1997/07/01,V,557912,155364
CV,16531502,55001,Jurij,12.03,1997/07/01,1997/07/01,V,544142,166625
CV,16531529,7005,Hum,8.95,1997/07/01,1997/07/01,V,389238,95987
CV,16531537,7006,Vipolže,2.23,1997/07/01,1997/07/01,V,386648,93978
CV,16531545,7007,Kozana,3.69,1997/07/01,1997/07/01,V,387718,95858
CV,16531553,7008,Fojana,3.11,1997/07/01,1997/07/01,V,384338,96438
CV,16531561,7010,Neblo,11.8,1997/07/01,1997/07/01,V,385308,98978
CV,16531570,7011,Kožbana,13.18,1997/07/01,1997/07/01,V,386698,101968
CV,16531588,7012,Biljana,1.97,1997/07/01,1997/07/01,V,386728,97158
CV,16531596,7013,Cerovo,4.64,1997/07/01,1997/07/01,V,388708,94607
CV,16531715,88002,Papeži,11.42,1997/07/01,1997/07/01,V,477138,46926
CV,16531723,88003,Podvrh-Padovo,7.54,1997/07/01,1997/07/01,V,477878,44186
CV,16531731,88004,Ribjek-Bosljiva Loka,15.36,1997/07/01,1997/07/01,V,478978,43686
CV,16531740,91001,Buje,5.19,1997/07/01,1997/07/01,V,428888,57696
CV,16531758,91002,Čepno,2.25,1997/07/01,1997/07/01,V,429608,59386
CV,16531766,91003,Dolnja Košana,1.55,1997/07/01,1997/07/01,V,431715,58747
CV,16531774,91004,Drskovče,2.39,1997/07/01,1997/07/01,V,439358,57606
CV,16531782,91005,Gornja Košana,8.77,1997/07/01,1997/07/01,V,430968,58746
CV,16531804,91006,Gradec,0.59,1997/07/01,1997/07/01,V,436488,61906
CV,16531812,91007,Jurišče,36.8,1997/07/01,1997/07/01,V,445078,58676
CV,16531839,91008,Kal,7.35,1997/07/01,1997/07/01,V,434928,59156
CV,16531847,91009,Klenik,3.43,1997/07/01,1997/07/01,V,439228,60166
CV,16531855,91010,Mala Pristava,3.08,1997/07/01,1997/07/01,V,434568,56716
CV,16531863,91011,Nadanje selo,1.37,1997/07/01,1997/07/01,V,435838,56556
CV,16531871,91012,Narin,6.56,1997/07/01,1997/07/01,V,437188,56296
CV,16531880,91013,Neverke,3.36,1997/07/01,1997/07/01,V,432778,58816
CV,16531898,91014,Nova Sušica,2.79,1997/07/01,1997/07/01,V,433458,57446
CV,16531901,91015,Palčje,30.56,1997/07/01,1997/07/01,V,442138,59826
CV,16531910,91016,Parje,3.78,1997/07/01,1997/07/01,V,439038,58396
CV,16531928,91017,Petelinje,2.38,1997/07/01,1997/07/01,V,437388,61416
CV,16531936,91018,Pivka,6.33,1997/07/01,1997/07/01,V,437398,60376
CV,16531944,91019,Ribnica,3.06,1997/07/01,1997/07/01,V,435188,54486
CV,16531952,91020,Selce,10.32,1997/07/01,1997/07/01,V,436818,62786
CV,16531979,91021,Slovenska vas,4.4,1997/07/01,1997/07/01,V,438678,62736
CV,16531987,91023,Suhorje,5.65,1997/07/01,1997/07/01,V,430228,55736
CV,16531995,91024,Šmihel,2.02,1997/07/01,1997/07/01,V,436078,57276
CV,16532002,91025,Tabor nad Knežakom,0.95,1997/07/01,1997/07/01,V,438298,56866
CV,16532029,91026,Trnje,39.52,1997/07/01,1997/07/01,V,439628,61016
CV,16532037,91027,Velika Pristava,3.56,1997/07/01,1997/07/01,V,436398,57856
CV,16532045,91029,Zagorje,7.59,1997/07/01,1997/07/01,V,439418,55986
CV,16532495,49003,Gabrovica pri Komnu,6.19,1997/07/01,1997/07/01,V,405158,74807
CV,16532509,49005,Gornja Branica,4.93,1997/07/01,1997/07/01,V,412678,75487
CV,16532517,49006,Hruševica,3.99,1997/07/01,1997/07/01,V,408928,75197
CV,16532525,49008,Klanec,1.02,1997/07/01,1997/07/01,V,398497,75447
CV,16532533,49009,Kobdilj,5.81,1997/07/01,1997/07/01,V,410788,75767
CV,16532541,49010,Kobjeglava,9.57,1997/07/01,1997/07/01,V,407278,75807
CV,16532550,49012,Lisjaki,0.7,1997/07/01,1997/07/01,V,409578,78027
CV,16532568,49013,Lukovec,1.18,1997/07/01,1997/07/01,V,407958,78187
CV,16532576,49015,Sveto,5.46,1997/07/01,1997/07/01,V,401408,76847
CV,16532584,49016,Škrbina,8.74,1997/07/01,1997/07/01,V,402428,78127
CV,16532592,49018,Tomačevica,4.21,1997/07/01,1997/07/01,V,404668,75937
CV,16532606,49019,Volčji Grad,4.81,1997/07/01,1997/07/01,V,402879,74168
CV,16532622,12001,Adergas,2.24,1997/07/01,1997/07/01,V,458430,125317
CV,16532649,12002,Ambrož pod Krvavcem,8.87,1997/07/01,1997/07/01,V,463610,126297
CV,16532657,12003,Apno,0.97,1997/07/01,1997/07/01,V,463960,124347
CV,16532665,12004,Cerklje na Gorenjskem,1.86,1997/07/01,1997/07/01,V,460330,123357
CV,16532673,12005,Češnjevek,2.71,1997/07/01,1997/07/01,V,458990,124887
CV,16532681,12006,Dvorje,1.99,1997/07/01,1997/07/01,V,460420,124637
CV,16532690,12007,Grad,3.46,1997/07/01,1997/07/01,V,460930,124847
CV,16532703,12008,Lahovče,4.98,1997/07/01,1997/07/01,V,461750,119927
CV,16532711,12009,Poženik,1.83,1997/07/01,1997/07/01,V,462360,123757
CV,16532720,12010,Praprotna Polica,4.31,1997/07/01,1997/07/01,V,457760,123997
CV,16532738,12011,Pšata,1.73,1997/07/01,1997/07/01,V,462010,124587
CV,16532746,12012,Pšenična Polica,1.48,1997/07/01,1997/07/01,V,461330,123237
CV,16532754,12013,Ravne,0.55,1997/07/01,1997/07/01,V,463130,124987
CV,16532762,12014,Sidraž,1.16,1997/07/01,1997/07/01,V,466290,124657
CV,16532789,12015,Spodnji Brnik,5.32,1997/07/01,1997/07/01,V,460540,121357
CV,16532797,12016,Stiška vas,2.61,1997/07/01,1997/07/01,V,461980,126407
CV,16532819,12017,Sveti Lenart,2.37,1997/07/01,1997/07/01,V,465500,125387
CV,16532827,12018,Šenturška gora,3.95,1997/07/01,1997/07/01,V,466270,123017
CV,16532835,12019,Šmartno,2.79,1997/07/01,1997/07/01,V,462650,123117
CV,16532843,12020,Štefanja gora,4.02,1997/07/01,1997/07/01,V,460230,127567
CV,16532851,12021,Vašca,2.03,1997/07/01,1997/07/01,V,459860,123637
CV,16532860,12022,Velesovo,1.72,1997/07/01,1997/07/01,V,457770,125577
CV,16532878,12023,Vopovlje,1.14,1997/07/01,1997/07/01,V,461010,120867
CV,16532886,12024,Zalog pri Cerkljah,7.08,1997/07/01,1997/07/01,V,464480,121577
CV,16532894,12025,Zgornji Brnik,6.81,1997/07/01,1997/07/01,V,460349,122350
CV,16532916,117001,Luže,1.22,2003/06/12,2003/06/12,V,456330,125247
CV,16532924,117002,Prebačevo,1.75,2003/06/12,2003/06/12,V,453139,119597
CV,16533262,88001,Osilnica,1.91,1997/07/01,1997/07/01,V,476428,43266
CV,16533548,7003,Vedrijan,1.78,1997/07/01,1997/07/01,V,387138,98238
CV,16533742,26004,Vurberk,4.57,1997/07/01,1997/07/01,V,560531,149944
CV,16533777,55004,Zgornja Kungota,13.31,1997/07/01,1997/07/01,V,547012,166765
CV,16533793,7004,Kojsko,3.41,1997/07/01,1997/07/01,V,390378,97367
CV,16533807,7009,Višnjevik,4.49,1997/07/01,1997/07/01,V,386278,98888
CV,16533815,7014,Dobrovo,2.31,1997/07/01,1997/07/01,V,386108,96508
CV,16533823,91022,Stara Sušica,4.18,1997/07/01,1997/07/01,V,432358,57576
CV,16533831,91028,Volče,13.56,1997/07/01,1997/07/01,V,429768,61566
CV,16533963,49007,Ivanji Grad,4.97,1997/07/01,1997/07/01,V,399698,76237
CV,16533971,49014,Mali Dol,1.59,1997/07/01,1997/07/01,V,404568,77037
CV,16565938,137001,Bezen,10.98,1998/01/14,1998/01/20,V,520131,137655
CV,16565946,137002,Hudinja,16.81,1998/01/14,1998/01/20,V,523661,141675
CV,16565954,137003,Paka-del,8.65,1998/01/14,1998/01/20,V,521851,140595
CV,16565962,137004,Ljubnica,6.02,1998/01/14,1998/01/20,V,525281,139085
CV,16565989,137005,Skomarje-del,1.85,1998/01/14,1998/01/20,V,524451,139515
CV,16565997,137006,Spodnji Dolič,6.79,1998/01/14,1998/01/20,V,520091,140805
CV,16566004,137007,Stenica,6.5,1998/01/14,1998/01/20,V,524231,137745
CV,16566012,137008,Trška skupnost Vitanje,1.73,1998/01/14,1998/01/20,V,522431,137955
CV,17247689,49002,Brje,2.87,1997/08/11,1997/08/13,V,400277,72437
CV,17516507,117003,Hotemaže,1.33,2010/09/07,2010/09/07,V,455390,126907
CV,17907581,20001,Bruhanja vas,4.27,1997/09/01,1997/09/05,V,477029,77606
CV,17907590,20002,Cesta,4.4,1997/09/01,1997/09/05,V,476039,80096
CV,17907603,20003,Čatež pri Strugah,1.44,1997/09/01,1997/09/05,V,480548,73306
CV,17907611,20004,Hočevje,8.54,1997/09/01,1997/09/05,V,480779,81246
CV,17907620,20005,Kolenča vas,0.36,1997/09/01,1997/09/05,V,481698,71856
CV,17907638,20006,Kompolje,12.02,1997/09/01,1997/09/05,V,477369,75976
CV,17907646,20007,Lipa,4.28,1997/09/01,1997/09/05,V,482388,71626
CV,17907654,20008,Mala vas,3.84,1997/09/01,1997/09/05,V,477069,79236
CV,17907662,20009,Paka,0.11,1997/09/01,1997/09/05,V,482248,71206
CV,17907689,20010,Podgora,3.33,1997/09/01,1997/09/05,V,476869,76366
