ENOTA,PT_MID,PT_ID,PT_UIME,POV_KM2,D_OD,DV_OD,STATUS,CEN_E,CEN_N
PT,21428329,8341,Adlešiči,39.49,2005/04/15,2005/04/15,V,527698,37615
PT,21428337,5270,Ajdovščina,76.25,2005/04/15,2005/04/15,V,414738,83647
PT,21428345,6280,Ankaran - Ancarano,13.6,2005/04/15,2005/04/15,V,403927,49667
PT,21428353,9253,Apače,53.37,2005/04/15,2005/04/15,V,572602,172114
PT,21428361,8253,Artiče,18.15,2005/04/15,2005/04/15,V,544389,89205
PT,21428370,4275,Begunje na Gorenjskem,31.54,2005/04/15,2005/04/15,V,437890,136398
PT,21428388,1382,Begunje pri Cerknici,58.51,2005/04/15,2005/04/15,V,453758,75356
PT,21428396,9231,Beltinci,62.31,2005/04/15,2005/04/15,V,594442,163669
PT,21428400,2234,Benedikt,23.68,2005/04/15,2005/04/15,V,568550,161115
PT,21428418,2345,Bistrica ob Dravi,8.62,2005/04/15,2005/04/15,V,541992,157345
PT,21428426,3256,Bistrica ob Sotli,29.82,2005/04/15,2005/04/15,V,551330,102194
PT,21428434,8259,Bizeljsko,32.38,2005/04/15,2005/04/15,V,553679,92154
PT,21428442,1223,Blagovica,27.8,2005/04/15,2005/04/15,V,483080,117766
PT,21428469,8283,Blanca,25.63,2005/04/15,2005/04/15,V,532240,101015
PT,21428477,4260,Bled,38.37,2005/04/15,2005/04/15,V,431829,136948
PT,21428485,4273,Blejska Dobrava,7.98,2005/04/15,2005/04/15,V,430846,140481
PT,21428493,9265,Bodonci,27.47,2005/04/15,2005/04/15,V,583382,176223
PT,21428507,9222,Bogojina,24.28,2005/04/15,2005/04/15,V,601242,173292
PT,21428515,4263,Bohinjska Bela,34.1,2005/04/15,2005/04/15,V,429079,133658
PT,21428523,4264,Bohinjska Bistrica,139.32,2005/04/15,2005/04/15,V,419259,126588
PT,21428531,4265,Bohinjsko jezero,142.61,2005/04/15,2005/04/15,V,414919,128388
PT,21428540,1353,Borovnica,63.16,2005/04/15,2005/04/15,V,450679,86657
PT,21428558,8294,Boštanj,41.04,2005/04/15,2005/04/15,V,520630,100105
PT,21428566,5230,Bovec,91.49,2005/04/15,2005/04/15,V,388448,134028
PT,21428574,5295,Branik,31.61,2005/04/15,2005/04/15,V,411448,80157
PT,21428582,3314,Braslovče,36.48,2005/04/15,2005/04/15,V,502970,127636
PT,21428604,5223,Breginj,52.22,2005/04/15,2005/04/15,V,382758,125148
PT,21428612,8280,Brestanica,29.16,2005/04/15,2005/04/15,V,533460,95865
PT,21428639,2354,Bresternica,29.28,2005/04/15,2005/04/15,V,543402,162015
PT,21428655,4243,Brezje,8.26,2005/04/15,2005/04/15,V,439870,133247
PT,21428663,1351,Brezovica pri Ljubljani,22.84,2005/04/15,2005/04/15,V,454229,97657
PT,21428671,8250,Brežice,36.63,2005/04/15,2005/04/15,V,545949,85164
PT,21428680,4210,Brnik - Aerodrom,7.79,2005/04/15,2005/04/15,V,457440,120917
PT,21428698,8321,Brusnice,30.7,2005/04/15,2005/04/15,V,519539,73725
PT,21428701,3255,Buče,20.22,2005/04/15,2005/04/15,V,542810,108164
PT,21428710,8276,Bučka,16.65,2005/04/15,2005/04/15,V,523559,87555
PT,21428728,9261,Cankova,30.55,2005/04/15,2005/04/15,V,577812,176023
PT,21428736,3000,Celje,54.05,2005/04/15,2005/04/15,V,520340,121185
PT,21428744,4207,Cerklje na Gorenjskem,69.87,2005/04/15,2005/04/15,V,460330,123357
PT,21428752,8263,Cerklje ob Krki,27.55,2005/04/15,2005/04/15,V,542739,82965
PT,21428779,1380,Cerknica,107.92,2005/04/15,2005/04/15,V,450098,73146
PT,21428787,5282,Cerkno,141.63,2005/04/15,2005/04/15,V,422069,110327
PT,21428795,2236,Cerkvenjak,23.97,2005/04/15,2005/04/15,V,572097,161332
PT,21428809,2215,Ceršak,12.86,2005/04/15,2005/04/15,V,551812,171584
PT,21428817,2326,Cirkovce,24.88,2005/04/15,2005/04/15,V,556011,143124
PT,21428825,2282,Cirkulane,31.9,2005/04/15,2005/04/15,V,577801,137014
PT,21428833,5273,Col,72.3,2005/04/15,2005/04/15,V,417228,86637
PT,21428841,1413,Čemšenik,19.97,2005/04/15,2005/04/15,V,496125,113836
PT,21428850,5253,Čepovan,42.23,2005/04/15,2005/04/15,V,404408,100637
