ENOTA,SL_MID,SL_ID,SL_UIME,POV_KM2,D_OD,DV_OD,STATUS,CEN_E,CEN_N
SL,16568368,137010,Osnovna šola Vitanje,59.33,1999/03/30,1999/03/30,V,522331,139585
SL,16568929,144010,Osnovna šola Zreče,40.41,1999/07/01,1999/07/01,V,529861,137375
SL,16568937,144011,Podružnična šola Gorenje,15.4,1999/07/01,1999/07/01,V,530461,140875
SL,16568945,144012,Podružnična šola Stranice,11.19,1999/07/01,1999/07/01,V,528201,134855
SL,16569097,114010,Osnovna šola Loče,22.15,1999/07/12,1999/07/14,V,539161,129485
SL,16569119,114020,Osnovna šola Ob Dravinji,10.76,1999/07/12,1999/07/14,V,534941,133805
SL,16569127,114030,Osnovna šola Pod goro,19.83,1999/07/12,1999/07/14,V,531401,133415
SL,16569135,114011,Podružnična šola Jernej,13.43,1999/07/30,1999/07/30,V,539781,131635
SL,16569143,114012,Podružnična šola Žiče,7.12,1999/07/30,1999/07/30,V,535861,131005
SL,16569151,114021,Podružnična šola Tepanje,7.03,1999/07/30,1999/07/30,V,536381,133935
SL,16569160,114031,Podružnična šola Špitalič,17.39,1999/07/30,1999/07/30,V,531831,130025
SL,16681598,120010,OŠ Blaža Kocena Ponikva,32.91,1999/11/08,1999/11/08,V,535650,125535
SL,16681709,120020,OŠ Dramlje,27.7,1999/11/08,1999/11/08,V,531020,127525
SL,16681717,120030,OŠ Frana Malgaja Šentjur,9.72,1999/11/08,1999/11/08,V,530430,119795
SL,16681725,120031,Podružnična šola Blagovna,17.74,1999/11/08,1999/11/08,V,528810,122345
SL,16681733,120040,OŠ Hruševec - Šentjur,24.82,1999/11/08,1999/11/08,V,531040,117725
SL,16681741,120041,Podružnična šola Kalobje,11.01,1999/11/08,1999/11/08,V,530330,114485
SL,16681750,120050,OŠ Planina pri Sevnici,42.62,1999/11/08,1999/11/08,V,532150,106775
SL,16681768,120060,OŠ Slivnica pri Celju,24.48,1999/11/08,1999/11/08,V,533710,115255
SL,16681776,120061,Podruž. šola Loka pri Žusmu,17.75,1999/11/08,1999/11/08,V,538360,111285
SL,16681784,120062,Podružnična šola Prevorje,13.63,1999/11/08,1999/11/08,V,536821,109486
SL,16681792,154010,OŠ Dobje pri Planini,17.46,1999/11/08,1999/11/08,V,530480,110865
SL,16787612,106010,I. OŠ Rogaška Slatina,21.4,1999/01/12,1999/01/12,V,549210,121504
SL,16787639,106011,Podružnična šola Kostrivnica,20.68,1999/01/12,1999/01/12,V,545550,124555
SL,16787647,106012,Podružnična šola Sv. Florijan,9.64,1999/01/12,1999/01/12,V,552100,124814
SL,16787655,106020,II. OŠ Rogaška Slatina,18.02,1999/01/12,1999/01/12,V,548510,123624
SL,16788007,124010,OŠ Šmarje pri Jelšah,35.67,1999/05/13,1999/05/13,V,539970,121055
SL,16788104,124011,Podružnična šola Kristan Vrh,8.94,1999/05/13,1999/05/13,V,543960,120975
SL,16788198,124012,Podružnična šola Mestinje,7.94,1999/05/13,1999/05/13,V,542090,123425
SL,16788201,124013,Podružnična šola Sladka Gora,8.21,1999/05/13,1999/05/13,V,540870,125195
SL,16788210,124014,Podružnična šola Sveti Štefan,15.4,1999/05/13,1999/05/13,V,538700,115425
SL,16788228,124015,Podružnična šola Šentvid,14.78,1999/05/13,1999/05/13,V,535540,119395
SL,16788236,124016,Podružnična šola Zibika,14.28,1999/05/13,1999/05/13,V,542800,117005
SL,16788244,92010,OŠ Podčetrtek,34.6,1999/05/13,1999/05/13,V,543670,111725
SL,16788252,92011,P. šola Pristava pri Mestinju,20.59,1999/05/13,1999/05/13,V,544380,115745
SL,16788279,149010,OŠ Bistrica ob Sotli,40.6,1999/05/17,1999/05/17,V,549390,102014
SL,16788287,107010,OŠ Rogatec,6.24,1999/05/17,1999/05/17,V,553980,121304
SL,16788295,107011,Podružnična šola Dobovec,18.46,1999/05/17,1999/05/17,V,558150,121964
SL,16788309,107012,Podružnična šola Donačka gora,14.8,1999/05/17,1999/05/17,V,555300,123444
SL,16799327,51010,Osnovna šola Kozje,60.42,2000/09/29,2000/10/09,V,543690,103614
SL,16799378,51020,Osnovna šola Lesično,29.33,2000/09/29,2000/10/09,V,541160,106155
SL,16897736,11010,I. osnovna šola Celje,3.31,1998/08/06,1998/08/12,V,520332,122752
SL,16898066,11020,II. osnovna šola Celje,5.49,1998/08/06,1998/08/12,V,519670,121865
SL,16898279,11030,III. osnovna šola Celje,0.7,1998/08/06,1998/08/12,V,520740,120415
SL,16898406,11040,IV. osnovna šola Celje,0.67,1998/08/06,1998/08/12,V,519720,122596
SL,16898481,11050,Osnovna šola Frana Kranjca,19.11,1998/08/06,1998/08/12,V,518100,117735
SL,16898678,11070,Osnovna šola Hudinja,4.55,1998/08/06,1998/08/12,V,520900,126205
SL,16898686,11090,Osnovna šola Ljubečna,19.92,1998/08/06,1998/08/12,V,523230,120625
SL,16898694,11080,Osnovna šola Lava,13.54,1998/08/06,1998/08/12,V,519747,125693
SL,16898724,11060,Osnovna šola Frana Roša,2.09,1998/08/06,1998/08/12,V,520010,125465
SL,16899879,139020,Osnovna šola Frankolovo,21.32,1998/09/11,1998/09/14,V,525491,134135
SL,16899887,139010,Osnovna šola Dobrna,33,1998/09/11,1998/09/14,V,519081,136625
SL,16899895,139030,Osnovna šola Vojnik,27.75,1998/09/11,1998/09/14,V,523090,126245
SL,16899909,139031,Podružnična šola Nova Cerkev,15.28,1998/09/11,1998/09/14,V,520210,132365
SL,16899917,139032,Podružnična šola Socka,11,1998/09/11,1998/09/14,V,520011,134275
SL,16899925,139033,Podružnična šola Šmartno v Rož,15.18,1998/09/11,1998/09/14,V,520380,128255
SL,16905526,127010,osnovna šola Štore,20.47,1999/08/11,1999/08/11,V,525050,120055
SL,16905534,127011,osnovna šola Kompole,7.71,1999/08/11,1999/08/11,V,526710,119185
SL,16907677,99010,OŠ Marjana Nemca Radeče,37.43,1999/02/10,1999/02/10,V,511160,102715
SL,16907685,99011,Podružnična šola Svibno,14.6,1999/02/10,1999/02/10,V,507530,102655
SL,16907693,57010,OŠ A. Aškerca Rimske Toplice,27.84,1999/02/10,1999/02/10,V,515940,109305
SL,16907707,57011,Podružnična šola Jurklošter,39.09,1999/02/10,1999/02/10,V,522880,104585
SL,16907715,57012,Podružnična šola Laziše,6.02,1999/02/10,1999/02/10,V,517890,109745
SL,16907723,57013,Podružnična šola Sedraž,7.63,1999/02/10,1999/02/10,V,513430,111715
SL,16907731,57014,Podružnična šola Zidani Most,12.89,1999/02/10,1999/02/10,V,514490,106255
SL,16907740,57020,OŠ Primoža Trubarja Laško,20.84,1999/02/10,1999/02/10,V,518430,112975
SL,16907758,57021,Podružnična šola Rečica,17.43,1999/02/10,1999/02/10,V,512630,114955
SL,16907766,57022,Podružnična šola Reka,8.71,1999/02/10,1999/02/10,V,521590,112935
SL,16907774,57023,Podružnična šola Šentrupert,19.39,1999/02/10,1999/02/10,V,525490,113665
SL,16907782,57024,Podružnič. šola Vrh nad Laškim,19.13,1999/02/10,1999/02/10,V,522160,109915
SL,16915025,57025,Podružnična šola Debro,18.55,2002/10/29,2002/11/20,V,517780,113735
SL,16918008,38010,OŠ A. Žnideršiča Il. Bistrica,58.8,1999/03/17,1999/03/17,V,441668,47826
