ENOTA,UL_MID,UL_ID,UL_UIME,UL_DJ,NA_MID,OB_MID,D_OD,DV_OD,STATUS
UL,10896533,15,Poljska ulica,,10108217,11027601,1995/01/01,1995/01/01,V
UL,10896592,32,Predilniška ulica,,10108969,11027024,1995/01/01,1995/01/01,V
UL,10896835,15,Jerebova ulica,,10108969,11027024,1995/01/01,1995/01/01,V
UL,10897360,9,Njivska ulica,,10108217,11027601,1995/01/01,1995/01/01,V
UL,10897416,23,Ulica 25. maja,,10108217,11027601,1995/01/01,1995/01/01,V
UL,10897629,24,Ulica 4. maja,,10108217,11027601,1995/01/01,1995/01/01,V
UL,10897726,20,Ulica Jožefa Zadravca,,10108217,11027601,1995/01/01,1995/01/01,V
UL,10897777,21,Ulica Štefana Kovača,,10108217,11027601,1995/01/01,1995/01/01,V
UL,10897785,25,Vrtna ulica,,10108217,11027601,1995/01/01,1995/01/01,V
UL,10897866,13,Partizanska ulica,,10108217,11027601,1995/01/01,1995/01/01,V
UL,10898102,22,Marokova pot,,10108969,11027024,1995/01/01,1995/01/01,V
UL,10898129,14,Pod logom,,10108217,11027601,1995/01/01,1995/01/01,V
UL,10900280,12,Vrtna ulica,Kert utca,10108110,11027822,1995/01/01,1995/01/01,V
UL,10900417,17,Prvomajska ulica,,10108217,11027601,1995/01/01,1995/01/01,V
UL,10900727,19,Travniška ulica,,10108217,11027601,1995/01/01,1995/01/01,V
UL,10900913,10,Ob potoku,,10108217,11027601,1995/01/01,1995/01/01,V
UL,10901332,22,Ulica Štefana Raja,,10108217,11027601,1995/01/01,1995/01/01,V
UL,10901634,35,Rudarska ulica,,10108969,11027024,1995/01/01,1995/01/01,V
UL,10904064,11,Obrtniška ulica,,10108217,11027601,1995/01/01,1995/01/01,V
UL,10904480,8,Mlinska ulica,,10108217,11027601,1995/01/01,1995/01/01,V
UL,10904498,12,Panonska ulica,,10108217,11027601,1995/01/01,1995/01/01,V
UL,10904595,7,Mladinska ulica,,10108217,11027601,1995/01/01,1995/01/01,V
UL,10906156,16,Prešernova ulica,,10108217,11027601,1995/01/01,1995/01/01,V
UL,10906423,5,Cankarjeva cesta,,10108969,11027024,1995/01/01,1995/01/01,V
UL,10906482,4,Industrijska ulica,,10108217,11027601,1995/01/01,1995/01/01,V
UL,10906547,18,Rožna ulica,,10108217,11027601,1995/01/01,1995/01/01,V
UL,10907675,38,Šmarska cesta,,10108969,11027024,1995/01/01,1995/01/01,V
UL,10908124,26,Žitna ulica,,10108217,11027601,1995/01/01,1995/01/01,V
UL,10908426,4,Brodarska ulica,,10108969,11027024,1995/01/01,1995/01/01,V
UL,10908469,30,Praprošče,,10108969,11027024,1995/01/01,1995/01/01,V
UL,10908477,37,Sitarjevška cesta,,10108969,11027024,1995/01/01,1995/01/01,V
UL,10908540,9,Cesta Zasavskega bataljona,,10108969,11027024,1995/01/01,1995/01/01,V
UL,10910234,7,Cesta Dušana Kvedra,,10108969,11027024,1995/01/01,1995/01/01,V
UL,10910447,19,Ljubljanska cesta,,10108969,11027024,1995/01/01,1995/01/01,V
UL,10910552,3,Gajska ulica,,10108217,11027601,1995/01/01,1995/01/01,V
UL,10910781,5,Kranjčeva ulica,,10108217,11027601,1995/01/01,1995/01/01,V
UL,10910803,6,Kratka ulica,,10108217,11027601,1995/01/01,1995/01/01,V
UL,10910846,29,Ponoviška cesta,,10108969,11027024,1995/01/01,1995/01/01,V
UL,10910927,1,Cvetna ulica,,10108217,11027601,1995/01/01,1995/01/01,V
UL,10910994,2,Čevljarska ulica,,10108217,11027601,1995/01/01,1995/01/01,V
UL,10916968,7,Potočna ulica,Patak utca,10108110,11027822,1995/01/01,1995/01/01,V
UL,10917352,9,Spodnja ulica,Alsó utca,10108110,11027822,2003/03/04,2003/03/04,V
UL,10917557,6,Poljska ulica,Mező utca,10108110,11027822,2003/03/04,2003/03/04,V
UL,10917956,10,Frtica,,10108969,11027024,1995/01/01,1995/01/01,V
UL,10918227,11,Ulica 22.junija,Június 22. utca,10108110,11027822,2012/02/15,2012/02/15,V
UL,10918618,27,Podkraj,,10108969,11027024,1995/01/01,1995/01/01,V
UL,10918634,8,Rudarska ulica,Bányász utca,10108110,11027822,2003/03/04,2003/03/04,V
UL,10918693,28,Pokopališka pot,,10108969,11027024,1995/01/01,1995/01/01,V
UL,10918740,12,Grbinska cesta,,10108969,11027024,1995/01/01,1995/01/01,V
UL,10918936,10,Tiha ulica,Csendes utca,10108110,11027822,1995/01/01,1995/01/01,V
UL,10923905,13,Prešernova ulica,Prešeren utca,10108055,11027822,1995/01/01,1995/01/01,V
UL,10923964,14,Panonsko naselje,Pannon - lakótelep,10108055,11027822,2008/07/01,2008/07/02,V
UL,10924138,15,Rudarska ulica,Bányász utca,10108055,11027822,2012/02/15,2012/02/15,V
UL,10926882,5,Dvori,,10102081,11027776,1995/01/01,1995/01/01,V
UL,10927471,17,Tomšičeva ulica,Tomšič utca,10108055,11027822,1995/01/01,1995/01/01,V
UL,10927480,16,Spodnja ulica,Alsó utca,10108055,11027822,2003/03/04,2003/03/04,V
UL,10932491,20,Ulica Pod hribom,Hegyalja utca,10108055,11027822,2008/07/01,2008/07/02,V
UL,10941571,12,Glavna ulica,Fő - utca,10108055,11027822,2008/07/01,2008/07/02,V
UL,10942110,11,Ulica Kálmána Patakyja,Pataky Kálmán utca,10108055,11027822,2007/09/11,2007/09/11,V
UL,10945674,18,Trg Ljudske pravice,Ljudska pravica tér,10108055,11027822,2022/10/26,2022/10/26,V
UL,10945798,24,Na Gričku,,10108969,11027024,1995/01/01,1995/01/01,V
UL,10946832,12,Ravenska ulica,,10108101,11027164,1995/01/01,1995/01/01,V
UL,10946956,11,Prešernova ulica,,10108101,11027164,1995/01/01,1995/01/01,V
UL,10947073,4,Gasilska ulica,,10108101,11027164,1995/01/01,1995/01/01,V
UL,10947260,2,Dolinska ulica,,10108101,11027164,1995/01/01,1995/01/01,V
UL,10947278,3,Gajska ulica,,10108101,11027164,1995/01/01,1995/01/01,V
UL,10947316,14,Sevranska ulica,,10108101,11027164,1995/01/01,1995/01/01,V
UL,10947545,7,Mladinska ulica,,10108101,11027164,1995/01/01,1995/01/01,V
UL,10947600,11,Graška cesta,,10108969,11027024,1995/01/01,1995/01/01,V
UL,10948312,16,Ježa,,10108969,11027024,1995/01/01,1995/01/01,V
UL,10950848,9,Naselje Gredice,,10108101,11027164,1995/01/01,1995/01/01,V
UL,10951267,6,Farančan,,10102081,11027776,1995/01/01,1995/01/01,V
UL,10955696,10,Panonska ulica,,10108101,11027164,1995/01/01,1995/01/01,V
UL,10956790,6,Kovaška ulica,,10108101,11027164,1995/01/01,1995/01/01,V
UL,10956803,22,Ulica Lajcsija Pandurja,Pandur Lajcsi utca,10108055,11027822,2001/10/17,2001/10/17,V
UL,10956846,8,Mlinska ulica,,10108101,11027164,1995/01/01,1995/01/01,V
UL,10956854,25,Parmova ulica,,10108969,11027024,1995/01/01,1995/01/01,V
UL,10956889,23,Župančičeva ulica,Župančič utca,10108055,11027822,1995/01/01,1995/01/01,V
UL,10956960,1,Cvetna ulica,,10108101,11027164,1995/01/01,1995/01/01,V
UL,10956978,40,Trg na Stavbah,,10108969,11027024,1995/01/01,1995/01/01,V
UL,10957028,39,Topilniška ulica,,10108969,11027024,1995/01/01,1995/01/01,V
UL,10957036,26,Partizanska pot,,10108969,11027024,1995/01/01,1995/01/01,V
UL,10957052,3,Industrijska ulica,Ipari utca,10108055,11027822,2006/09/14,2006/09/14,V
UL,10957133,15,Ulica na kamni,,10108101,11027164,1995/01/01,1995/01/01,V
UL,10957583,18,Levstikova ulica,,10108969,11027024,1995/01/01,1995/01/01,V
UL,10957613,5,Jugovska ulica,,10108101,11027164,1995/01/01,1995/01/01,V
UL,10957818,10,Slomškovo naselje,Slomšek - lakótelep,10108055,11027822,2008/07/01,2008/07/02,V
UL,10958105,13,Ribiška ulica,,10108101,11027164,1995/01/01,1995/01/01,V
UL,10958504,21,Ulica Vladimira Nazorja,Vladimir Nazor utca,10108055,11027822,1995/01/01,1995/01/01,V
UL,11019773,7,Fikoni,,10102081,11027776,1995/01/01,1995/01/01,V
UL,11031978,8,Gregoriči,,10102081,11027776,1995/01/01,1995/01/01,V
UL,11121683,10,Kavaliči,,10102081,11027776,1995/01/01,1995/01/01,V
UL,11198465,13,Kortina,,10102081,11027776,1995/01/01,1995/01/01,V
