ENOTA,VDV_MID,VDV_ID,VDV_UIME,VDV_DJ,POV_KM2,D_OD,DV_OD,N8,C1,STATUS,CEN_E,CEN_N
VD,16457272,26704,"OŠ Žitečka vas, Zg. Duplek 98",,6.55,2017/07/13,2017/07/13,707001,,V,556232,152434
VD,16457299,26705,"Občina Duplek, Trg slovenske osamosvojitve 1",,4.84,2018/04/26,2018/04/26,707002,,V,557310,152005
VD,16457302,26706,"OŠ Dvorjane, Dvorjane 15",,5.4,2022/09/01,2022/09/01,707003,,V,559239,150513
VD,16457329,26707,"KD Vurberk, Vurberk 94",,4.57,2022/09/01,2022/09/01,707004,,V,560531,149944
VD,16457337,26718,Večnamenski prostor pri igrišču Zimica 46c,,4.05,2018/04/10,2018/04/10,707005,,V,557912,155364
VD,16457345,26719,"KD Korena, Zg.Korena 38",,14.39,2022/09/01,2022/09/01,707006,,V,558282,152964
VD,16462551,55813,"Klub Svečina, Plač 7",,16.2,2015/06/03,2015/06/03,808001,,V,545132,169645
VD,16462578,55823,"VS Zg. Kungota, Plintovec 1",,8.45,2015/06/03,2015/06/03,808003,,V,547012,166765
VD,16462586,55824,"ŽU Sv. Jurij ob Pesnici, Jurski Vrh 5",,12.03,2022/09/01,2022/09/01,808004,,V,543222,167065
VD,16462594,55825,"Podružnica OŠ Kungota, Gradiška 219",,7.43,2022/02/23,2022/02/23,808005,,V,548532,163535
VD,16462730,58701,"OŠ Benedikt, Šolska ul. 2",,7.33,2022/09/01,2022/09/01,807001,,V,568311,163246
VD,16462748,58702,"OŠ Benedikt, Šolska ul. 2",,10.09,2022/09/01,2022/09/01,807002,,V,567552,166804
VD,16462756,58703,"OŠ Benedikt, Šolska ul. 2",,6.72,2022/09/01,2022/09/01,807003,,V,569062,164414
VD,16462764,58704,"OŠ Cerkvenjak, Cerkvenjak 24",,6.76,2022/09/01,2022/09/01,807004,,V,573302,158844
