ENOTA,VLV_MID,VLV_ID,VLV_UIME,VLV_DJ,POV_KM2,D_OD,DV_OD,N8,C1,STATUS,CEN_E,CEN_N
LV,16477931,1001,"Osnovna šola Danila Lokarja, Cesta 5. maja 15",,2.12,2018/09/18,2018/09/18,101001,,V,414738,83647
LV,16477940,1002,"Stavba občine Ajdovščina, Cesta 5. maja 6 a",,0.19,2018/09/05,2018/09/05,101002,i,V,414938,83837
LV,16477958,1003,"Prostovoljno gasilsko društvo, Tovarniška c. 3g",,1.05,2018/09/05,2018/09/05,101003,,V,414898,83627
LV,16477966,1004,"Otroški vrtec ob Hublju, Ob Hublju 1",,0.86,2018/09/05,2018/09/05,101004,i,V,415228,83837
LV,16477974,1005,"Dom krajanov Ajdovščina, Prešernova ulica 26",,3.87,2018/09/05,2018/09/05,101005,,V,415668,84387
LV,16477982,1006,"Osnovna šola Šturje, Bevkova ulica 22",,0.38,2018/09/05,2018/09/05,102006,i,V,415338,83687
LV,16478008,1007,"Otroški vrtec na Ribniku, Pot v Žapuže 14",,2.03,2018/09/05,2018/09/05,102007,i,V,415868,83517
LV,16478016,1008,"Dom krajanov, Žapuže 10",,2.22,2018/09/05,2018/09/05,102008,i,V,416328,82587
LV,16478024,1009,"Dvorana krajevne skupnosti, Dolga Poljana 17",,2.31,2018/09/05,2018/09/05,102009,,V,417398,82337
LV,16478032,1010,"Stara šola Budanje, Budanje 37",,5.33,2022/09/14,2022/09/20,102010,,V,418629,82078
LV,16478059,1011,"Dvorana Edmunda Čibeja, Lokavec 126 a",,13.74,2018/09/05,2018/09/05,103011,i,V,412943,85307
LV,16478067,1012,"Dvorana krajevne skupnosti, Predmeja 93 a",,20.75,2018/09/05,2018/09/05,103012,,V,413768,89967
LV,16478075,1013,"Dvorana krajevne skupnosti, Otlica 47",,12.21,2018/09/05,2018/09/05,103013,,V,415478,88107
LV,16478083,1014,"Dom tabornikov, Kovk 13",,8.85,2022/09/14,2022/09/20,103014,,V,417228,86637
LV,16478091,1015,"Osnovna šola, Col 35",,28.48,2018/09/05,2018/09/05,103015,i,V,419828,84817
LV,16478105,1016,"Osnovna šola, Podkraj 9",,34.19,2018/09/05,2018/09/05,103016,,V,428588,82567
LV,16478113,1017,"Dom krajanov, Stomaž 36",,7.4,2018/09/05,2018/09/05,104017,,V,411348,85137
LV,16478121,1018,"Prostori krajevne skupnosti Skrilje, Skrilje 39",,1.45,2018/09/05,2018/09/05,104018,,V,410688,84237
LV,16478130,1019,"Dom krajanov Cesta, Cesta 94 a",,2.75,2018/09/05,2018/09/05,104019,,V,412448,83867
LV,16478148,1020,"Prostori KS Vipavski Križ, Vipavski Križ 8",,0.48,2018/09/19,2018/09/19,104020,i,V,411638,82987
LV,16478156,1023,"Objekt Martinove dvorane, Gaberje 37",,4.59,2022/09/20,2022/09/26,104023,,V,413468,78287
LV,16478164,1024,"Gasilski dom Šmarje, Šmarje 48 a",,9.73,2022/09/14,2022/09/20,104024,,V,410828,79357
LV,16478202,1025,"Večnamenski prostor, Ustje 18",,3.92,2022/09/14,2022/09/20,104025,,V,414218,81747
LV,16478229,1026,"Bivša osnovna šola, Planina 58",,6.95,2022/09/14,2022/09/20,104026,,V,413348,80987
LV,16478237,1027,"Dvorana krajevne skupnosti, Velike Žablje 88a",,3.12,2022/09/14,2022/09/20,105027,i,V,410768,81447
LV,16478245,1028,"Kulturni dom, Dobravlje 34 a",,3.18,2022/09/14,2022/09/20,105028,i,V,410508,83337
LV,16478253,1029,"Učni center Brje (bivša osnovna šola), Brje 53",,5.34,2022/09/14,2022/09/20,105029,,V,408018,81637
LV,16478261,1030,"Dom krajanov (bivša osnovna šola), Kamnje 61",,7.46,2022/09/14,2022/09/20,105030,,V,408638,83977
LV,16478270,1031,"Osnovna šola, Vrtovin 74",,16.07,2022/09/14,2022/09/20,105031,,V,407878,85137
LV,16478288,1032,"Dom krajanov, Gojače 48",,5.71,2022/09/14,2022/09/20,105032,,V,406278,85597
LV,16478296,1033,"Kulturni dom, Selo 39 a",,3.98,2022/09/14,2022/09/20,105033,i,V,405948,84007
LV,16478300,1034,"Stavba v športnem parku Batuje, Batuje 38 b",,2.82,2022/09/14,2022/09/20,105034,,V,405088,84487
LV,16478318,1035,"Osnovna šola Črniče, Črniče 27",,17.92,2022/09/14,2022/09/20,105035,i,V,404998,86347
LV,16478326,2001,"Beltinci I, Kulturni dom, Ul. Štefana Kovača 3",,5.7,2022/09/14,2022/09/15,201001,,V,594442,163669
LV,16478334,2002,"Beltinci II, Kulturni dom, Ul. Štefana Kovača 3",,6.49,2022/09/14,2022/09/15,201002,,V,594972,163673
LV,16478342,2003,"Bratonci, Turistična hiša Žlica, Bratonci 81a",,3.18,2022/09/14,2022/09/15,203003,,V,593092,165003
LV,16478369,2004,"Dokležovje, vaški dom",,5.28,2022/09/14,2022/09/15,202004,,V,589832,163043
LV,16478377,2005,"Gančani, ŠRC Gančani",,13.59,2022/09/14,2022/09/15,203005,,V,595532,166353
LV,16478385,2006,"Ižakovci, vaški dom",,8.61,2022/09/14,2022/09/15,202006,,V,592912,161353
LV,16478393,2007,"LIPA, Cimprana  iža, Lipa 78a",,5.59,2022/09/14,2022/09/15,201007,,V,598612,163433
LV,16478407,2008,"Lipovci, Gasilski dom, Lipovci 138",,7.07,2022/09/14,2022/09/15,203008,,V,594082,165873
LV,16478415,2009,"Melinci, Vaški dom",,6.8,2022/12/07,2022/12/07,202009,,V,594916,159959
LV,16478423,5001,"LD Borovnica, Miklavičeva c. 2a, Borovnica",,0.75,2022/09/12,2022/09/12,501001,,V,450369,87147
LV,16478431,5002,"OŠ Borovnica, Paplerjeva ul. 15, Borovnica",,2.08,2022/09/12,2022/09/12,501002,,V,450979,87627
LV,16478440,5003,"Občina Borovnica, Paplerjeva ul. 22, Borovnica",,2.79,2022/09/12,2022/09/12,501003,,V,450679,86657
LV,16478466,5005,"GD Breg pri Borovnici 18, Borovnica",,6.28,2022/09/12,2022/09/12,502005,,V,450809,88867
LV,16478474,5006,"DK Dol-Laze, Obrtniška ul. 30, Borovnica",,7.66,2022/09/12,2022/09/12,502006,,V,449839,87947
LV,16478504,5007,"GD Brezovica pri Borovnici 42, Borovnica",,22.75,2022/09/12,2022/09/12,502007,,V,452739,85236
LV,16478695,9001,"Mestna hiša Brežice, CPB 22, Brežice",,1.15,2022/09/07,2022/09/07,901001,,V,545949,85164
LV,16478709,9002,"MC Brežice I., Gubčeva ul. 10a, Brežice",,0.15,2022/09/07,2022/09/07,901002,,V,546519,85254
LV,16478717,9003,"OŠ Brežice, Levstikova ul. 18,  Brežice",,0.09,2022/09/07,2022/09/07,901003,,V,546159,85004
LV,16478725,9004,"Vrtec Mavrica Brežice, vhod B;Šolska ul.5,Brežice",,0.04,2022/09/07,2022/09/07,901004,,V,546309,85524
LV,16478733,9005,"MC Brežice II., Gubčeva ul. 10a, Brežice",,0.1,2022/09/07,2022/09/07,901005,,V,546179,84804
LV,16478741,9006,"GD Bukošek; Bukošek 28a, Brežice",,5.87,2022/09/07,2022/09/07,901006,,V,548629,87484
LV,16478750,9007,"SIC Brežice I., Bizeljska c. 45, Brežice",,2.83,2022/09/07,2022/09/07,901007,,V,546999,86124
LV,16478768,9008,"SIC Brežice II., Bizeljska c. 45, Brežice",,0.18,2022/09/07,2022/09/07,901008,,V,546761,85001
LV,16478776,9009,"Zavod za šport - stadion, CBM 18, Brežice",,0.72,2022/09/07,2022/09/07,901009,,V,546329,86664
LV,16478784,9010,"GD Šentlenart I., CBM 105, Brežice",,0.84,2022/09/07,2022/09/07,901010,,V,545749,87024
LV,16478792,9011,"GD Šentlenart II., CBM 105, Brežice",,11.62,2022/09/07,2022/09/07,901011,,V,544419,87955
LV,16478806,9012,"Prosvetni dom Artiče, Artiče 38, Artiče",,5.83,2022/09/07,2022/09/07,904012,,V,543659,89015
LV,16478814,9013,"OŠ Artiče, Artiče 39, Artiče",,8.95,2022/09/07,2022/09/07,904013,,V,543819,89995
LV,16478822,9014,"Nekdanja OŠ Pečice, Pečice 33, Podsreda",,3.09,2022/09/07,2022/09/07,904014,,V,544820,97174
LV,16478849,9015,"Dom krajanov Sromlje, Sromlje 5, Sromlje",,14.58,2022/09/07,2022/09/07,904015,,V,544040,92805
LV,16478857,9016,"Prosvetni dom Globoko I., Globoko 5, Globoko",,11.02,2022/09/07,2022/09/07,903016,,V,548279,91694
LV,16478865,9017,"Prosvetni dom Globoko II., Globoko 5, Globoko",,6.47,2022/09/07,2022/09/07,903017,,V,551980,92504
LV,16478873,9018,"Večnamenski dom Pišece, Pišece 27a, Pišece",,10.63,2022/09/07,2022/09/07,904018,,V,550180,96134
LV,16478881,9019,"OŠ Pišece, Pišece 34, Pišece",,12.79,2022/09/07,2022/09/07,904019,,V,548390,96384
LV,16478890,9020,"GD Gabrje pri Dobovi, Gabrje pri Dobovi 20,Dobova",,0.92,2022/09/07,2022/09/07,903020,,V,550509,84984
LV,16478903,9021,"GD Mali Obrež, Mali Obrež 16a, Dobova",,1.08,2022/09/07,2022/09/07,903021,,V,551089,85624
LV,16478911,9022,"GD Veliki Obrež, Veliki Obrež 13, Dobova",,3.61,2022/09/07,2022/09/07,903022,,V,551859,85044
LV,16478920,9023,"Brodarska hišica Mostec, Mostec 51, Dobova",,2.54,2022/09/07,2022/09/07,903023,,V,548779,84534
LV,16478938,9024,"GD Mihalovec, Mihalovec 17, Dobova",,2.57,2022/09/07,2022/09/07,903024,,V,550659,83694
LV,16478946,9025,"GD Loče, Loče 22, Dobova",,3.59,2022/09/07,2022/09/07,903025,,V,551559,82944
LV,16478954,9026,"KS Dobova, Ul. bratov Gerjovičev 48, Dobova",,2.53,2022/09/07,2022/09/07,903026,,V,550999,84644
LV,16478962,9027,"GD Rigonce, Rigonce 29, Dobova",,1.56,2022/09/07,2022/09/07,903027,,V,552959,83334
LV,16478989,9028,"GD Sela pri Dobovi, Sela pri Dobovi 46, Dobova",,7.32,2022/09/07,2022/09/07,903028,,V,548975,85771
LV,16478997,9029,"GD Kapele, Kapele 13, Kapele",,3.69,2022/09/07,2022/09/07,903029,,V,552629,88164
LV,16479004,9030,"GD Rakovec, Rakovec 15, Kapele",,4.8,2022/09/07,2022/09/07,903030,,V,553849,88194
LV,16479012,9031,"GD Župelevec, Župelevec 53, Kapele",,9.93,2022/09/07,2022/09/07,903031,,V,553259,91554
LV,16479039,9032,"OŠ Bizeljsko, Bizeljska c. 78, Bizeljsko",,19.59,2022/09/07,2022/09/07,904032,,V,553360,95924
LV,16479047,9033,"GD Orešje, Orešje na Bizeljskem 59, Bizeljsko",,4.23,2022/09/07,2022/09/07,904033,,V,553800,100634
LV,16479055,9034,"GD Stara vas, Stara vas 68a, Bizeljsko",,6.91,2022/10/06,2022/10/06,904034,,V,553880,94454
LV,16479063,9035,"GD Cerklje ob Krki, Cerklje 56, Cerklje/Krki",,6.97,2022/09/07,2022/09/07,902035,,V,540379,82865
LV,16479071,9036,"OŠ Cerklje ob Krki, Cerklje 3, Cerklje/Krki",,6.47,2022/09/07,2022/09/07,902036,,V,542739,82965
LV,16479080,9037,"Nek. OŠ Bušeča vas, Bušeča vas 38, Cerklje/Krki",,4.33,2022/09/07,2022/09/07,902037,,V,540879,79435
LV,16479098,9038,"GD Dol. Pirošica, Dol. Pirošica 4a, Cerklje/Krki",,7.49,2022/09/07,2022/09/07,902038,,V,540829,82125
LV,16479101,9039,"KS Čatež ob Savi, Čateška ul. 3, Brežice",,7.72,2022/09/07,2022/09/07,902039,,V,546399,83814
