ENOTA,VLV_MID,VLV_ID,VLV_UIME,VLV_DJ,POV_KM2,D_OD,DV_OD,N8,C1,STATUS,CEN_E,CEN_N
LE,16598704,11402,VOLILNA ENOTA 2,,42.7,2018/10/15,2018/10/15,,,V,535861,131005
LE,17101790,21301,Volilna enota 1,,8.04,2014/08/11,2014/08/11,,,V,401507,49597
LE,17268627,1901,Volilna enota 1 (sedež Divača),,5.94,2014/08/08,2014/08/08,,,V,419778,60746
LE,17268635,1902,Volilna enota 2 (sedež Dolnje Ležeče),,24.79,2014/08/08,2014/08/08,,,V,420628,60266
LE,17268643,1903,Volilna enota 3 (sedež Dolnje Vreme),,54.38,2014/08/08,2014/08/08,,,V,426078,55996
LE,17268651,1904,Volilna enota 4 (sedež Senožeče),,59.98,2014/08/08,2014/08/08,,,V,422978,66266
LE,17368532,4101,Volilna enota 1,,30.77,2006/07/05,2006/07/05,,,V,424680,145788
LE,17368559,4102,Volilna enota 2,,2.68,2006/07/05,2006/07/05,,,V,426180,144688
LE,17368567,4103,Volilna enota 3,,5.85,2006/07/05,2006/07/05,,,V,428220,144718
LE,17368575,4104,Volilna enota 4,,36.59,2006/07/05,2006/07/05,,,V,429680,144328
LE,17591584,301,Volilna enota 1,,72.4,2006/07/05,2006/07/05,,,V,431130,138328
LE,17591592,20701,Volilna enota 1,,86.82,2006/07/05,2006/07/05,,,V,425149,139898
LE,17591606,20702,Volilna enota 2,,2.01,2006/07/05,2006/07/05,,,V,428339,138248
LE,17591614,20703,Volilna enota 3,,4.54,2006/07/05,2006/07/05,,,V,428759,138008
LE,17591622,20704,Volilna enota 4,,0.3,2006/07/05,2006/07/05,,,V,429020,138728
LE,17591649,20705,Volilna enota 5,,21.33,2006/07/05,2006/07/05,,,V,429470,138988
LE,17591657,20706,Volilna enota 6,,1.11,2006/07/05,2006/07/05,,,V,430150,139138
LE,17591665,401,Volilna enota 1,,333.84,2006/07/05,2006/07/05,,,V,419259,126588
LE,17591673,10201,Volilna enota 1,,118.64,2006/07/05,2006/07/05,,,V,435581,135823
LE,17704796,12201,Volilna enota 1,,20.16,2006/07/05,2006/07/05,,,V,450389,114427
LE,17704800,12202,Volilna enota 2,,72.21,2006/07/05,2006/07/05,,,V,441039,113487
LE,17704818,12203,Volilna enota 3,,45.9,2006/07/05,2006/07/05,,,V,438099,116687
LE,17704826,12204,Volilna enota 4,,7.76,2006/07/05,2006/07/05,,,V,447905,116149
LE,17846108,6801,Volilna enota 1,,74.83,2006/07/17,2006/07/20,,,V,475000,116956
LE,18143640,6603,Volilna enota 3,,18.73,2006/07/26,2006/07/26,,,V,470008,61116
LE,18143658,6604,Volilna enota 4,,81.15,2006/07/26,2006/07/26,,,V,475558,59056
LE,18143666,17902,Volilna enota 2,,5.7,2006/07/14,2006/07/26,,,V,468838,70896
LE,18143674,17903,Volilna enota 3,,9.04,2006/07/14,2006/07/26,,,V,468388,68086
LE,18143682,17904,Volilna enota 4,,11.73,2006/07/14,2006/07/26,,,V,469838,69346
LE,18143704,17905,Volilna enota 5,,6.82,2006/07/14,2006/07/26,,,V,474328,68486
LE,18143712,17906,Volilna enota 6,,0.78,2006/07/14,2006/07/26,,,V,474908,69186
LE,18143739,17907,Volilna enota 7,,6.33,2006/07/14,2006/07/26,,,V,472629,68647
LE,18247542,19402,Volilna enota 2,,4.42,2006/07/17,2006/07/20,,,V,488130,100487
LE,18247569,19403,Volilna enota 3,,48.55,2006/07/17,2006/07/20,,,V,480959,102266
LE,18804409,20801,VOLILNA ENOTA 1,,6.41,2015/04/03,2015/04/03,,,V,451959,98037
LE,18804417,20802,VOLILNA ENOTA 2,,4.63,2015/04/03,2015/04/03,,,V,451139,97157
LE,19032507,19802,Volilna enota 2,,6.23,2006/07/13,2006/07/13,,,V,553131,133952
LE,19032515,19803,Volilna enota 3,,2.1,2006/07/13,2006/07/13,,,V,551707,130998
LE,19032523,19804,Volilna enota 4,,20.91,2006/07/13,2006/07/13,,,V,551330,128084
LE,19129586,19502,volilna enota 2,,22.84,2006/08/21,2006/08/22,,,V,565812,175404
LE,19129594,2901,volilna enota 1,,27.01,2006/08/22,2006/08/22,,,V,574352,167883
LE,19347648,18802,volilna enota 2,,3.27,2010/08/19,2010/08/19,,,V,587352,161813
LE,19347656,18803,VOLILNA ENOTA 3,,4.29,2010/08/19,2010/08/19,,,V,589372,161003
LE,19347664,18804,volilna enota 4,,1.87,2010/08/19,2010/08/19,,,V,589193,160927
